gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
LMOD1,leiomodin 1,0,[],LMOD1,LMOD1,25802,leiomodin 1
S100A12,s100 calcium binding protein a12,35,"['40325173', '40318597', '39382024', '39076981', '38892107', '38852219', '38795170', '38447501', '38332910', '38029239', '37901228', '37671148', '37010813', '36439140', '36244216', '36143874', '35272594', '34437068', '34296682', '32444390', '31666644', '31170888', '30563403', '29314200', '28146645', '28125622', '25973048', '25394242', '23846410', '23611140', '21921634', '21681499', '20689292', '19395960', '18392609']",S100A12,S100A12,6283,S100 calcium binding protein A12
NFE2L2,nfe2 like bzip transcription factor 2,9,"['40490833', '40253433', '39481313', '36497185', '26675956', '26077880', '25483963', '24253037', '21454555']",NFE2L2,NFE2L2,4780,NFE2 like bZIP transcription factor 2
F3,coagulation factor iii tissue factor,26,"['40208026', '36796459', '33906793', '33796108', '33091046', '33059627', '32272071', '32142632', '32005004', '29900654', '29065124', '27417563', '26929255', '26879721', '25976446', '25467201', '24726260', '22948263', '22098684', '20410508', '16489668', '14641616', '10722587', '10213131', '1542981', '6528783']",F3,F3,2152,"coagulation factor III, tissue factor"
SIGIRR,single ig and tir domain containing,3,"['24556793', '16921326', '16850005']",SIGIRR,SIGIRR,59307,single Ig and TIR domain containing
CBLB,cbl proto oncogene b,3,"['31999304', '29201860', '27428901']",CBLB,CBLB,868,Cbl proto-oncogene B
BLNK,b cell linker,0,[],BLNK,BLNK,29760,B cell linker
nonconservative,nonconserved,0,[],,,,
IFNGR2,interferon gamma receptor 2,6,"['40325173', '38898888', '35832091', '33273605', '29106381', '20980339']",IFNGR2,IFNGR2,3460,interferon gamma receptor 2
GSN,gelsolin,29,"['38457556', '37471663', '36462503', '32272559', '30796880', '29320362', '29142235', '28872708', '28135711', '28054557', '27823961', '27515207', '27352341', '26902273', '25862970', '24690274', '23985203', '23940055', '22233884', '22082609', '21420877', '20629109', '19114856', '19002257', '18706105', '17205019', '16529602', '12545009', '9142022']",GSN,GSN,2934,gelsolin
IRF4,interferon regulatory factor 4,6,"['36564641', '35993451', '28723546', '28434881', '27928009', '16093364']",IRF4,IRF4,3662,interferon regulatory factor 4
NDUFB3,nad,1,['37228596'],NDUFB3,NDUFB3,4709,NADH:ubiquinone oxidoreductase subunit B3
CD86,cd86 molecule,108,"['40524162', '40507879', '40418306', '39945866', '39794821', '39565476', '39535339', '39471914', '39436561', '38951957', '38878655', '38870636', '38824851', '38753245', '38603712', '38501547', '38162637', '38043934', '37820748', '37819735', '37556997', '37434129', '37405561', '37381064', '36921490', '36809929', '36621538', '36546420', '36106559', '35266443', '34839857', '34566996', '34204220', '33579182', '33406504', '33223466', '33076951', '32918665', '32473570', '31953452', '31836803', '31651850', '31586490', '31306346', '31035565', '30985520', '30957834', '30591103', '30343689', '30179262', '30119646', '29668526', '28363639', '27862204', '27311945', '27288425', '27026041', '26430882', '25912130', '25130456', '25129060', '24945079', '24891762', '24531620', '24358343', '24122349', '24034228', '23926073', '23911358', '23787022', '23721745', '23228241', '23039892', '23006847', '22709481', '22564837', '22174949', '22055202', '21540807', '20847379', '20687203', '20122166', '19936055', '19805530', '19672303', '19332532', '19229566', '19189863', '19031471', '18945879', '18297128', '18222389', '17635808', '17328986', '17092423', '16365154', '15897802', '15767412', '15744129', '15322163', '15257086', '12794123', '12028567', '11907099', '11396289', '10695660', '10233733', '10075859']",CD86,CD86,942,CD86 molecule
CISH,cytokine inducible sh2 containing protein,9,"['39637364', '34072601', '32507857', '29920655', '20484391', '17634149', '16540952', '12217886', '11312157']",CISH,CISH,1154,cytokine inducible SH2 containing protein
STAT1,signal transducer and activator of transcription 1,114,"['40289345', '40245547', '39996782', '39898465', '39844345', '39839500', '39794821', '39587404', '39320524', '39312859', '39294340', '39009196', '38788393', '38678669', '38330817', '38301209', '38141575', '37679586', '37628912', '37620622', '37552767', '37261353', '37189117', '36462334', '36314827', '35926119', '35197984', '34867954', '34841450', '34777396', '34508746', '34508735', '34445223', '34190613', '34135911', '34096077', '34092294', '33975932', '33798037', '33649198', '33511217', '32973784', '32941182', '32873853', '32828299', '32820146', '32788578', '32759503', '32631901', '32373120', '32161097', '31953452', '31518916', '31301576', '30374077', '30338847', '30319651', '30086151', '29996098', '29668683', '29415882', '29193197', '29106381', '28818572', '28628637', '28419653', '28409189', '27696085', '27662621', '27258786', '26977531', '26643479', '26251957', '25875701', '25736558', '25628460', '25592735', '24903157', '24858600', '24696235', '24607272', '24395919', '24161485', '23568285', '23285207', '23261487', '23177319', '22777121', '22523911', '22427642', '22020240', '21987777', '21820410', '21670588', '21114991', '20621590', '19796080', '19201901', '18684919', '18656624', '18435922', '18211965', '17971840', '17911638', '17074848', '17067487', '16223733', '15814679', '15226272', '14670297', '12679810', '12433373', '12219013', '10202041']",STAT1,STAT1,6772,signal transducer and activator of transcription 1
HSPA5,hsp70 heat shock proteins,0,[],HSPA5,HSPA5,3309,heat shock protein family A (Hsp70) member 5
SIGLEC9,sialic acid binding ig like lectin 9,5,"['35844622', '34762717', '27544323', '19295491', '15827126']",SIGLEC9,SIGLEC9,27180,sialic acid binding Ig like lectin 9
ARG1,arginase 1,79,"['40486522', '40418306', '40153013', '39921189', '39914692', '39913960', '39819719', '39794821', '39751971', '39732977', '39710434', '39560539', '39535339', '39311785', '38749002', '38715602', '38511769', '38501547', '38448372', '38043934', '38029239', '37926174', '37921181', '37820748', '37819735', '37343733', '37261353', '36921490', '36070121', '36039902', '35914476', '35818227', '35739592', '35720398', '35644586', '35523357', '35461144', '35352622', '35272594', '35069560', '34850068', '34417666', '34208904', '34190613', '34051632', '34004247', '32918665', '32658933', '32423469', '31817302', '31484735', '31159807', '30557700', '30248443', '30143931', '30123776', '30119646', '29723248', '29621339', '29608552', '29363724', '28953574', '28682942', '28649127', '28458349', '28419526', '28273909', '28146645', '27570978', '27312706', '27163951', '26471500', '25953901', '25447055', '25335337', '24838383', '24642449', '24465919', '22654663']",ARG1,ARG1,383,arginase 1
OAS3,2 5 oligoadenylate synthetase 3,1,['39494334'],OAS3,OAS3,4940,2'-5'-oligoadenylate synthetase 3
TXN,thioredoxin,52,"['40124361', '40108736', '40028203', '39805448', '39759963', '39283066', '39059206', '37346041', '37154070', '36335235', '36263912', '35609679', '35571246', '35443495', '34864825', '34407684', '33885954', '33745232', '33452697', '32597945', '32538180', '32326777', '32057359', '31173172', '29991584', '29180214', '28806702', '28522011', '28505020', '28087409', '27698473', '27592449', '27299588', '26207591', '25999034', '25644686', '24098117', '23869529', '23146411', '22233884', '22000444', '21355852', '20847814', '20838331', '20678999', '19756498', '19535923', '19487947', '17115131', '12753316', '11878087', '11790955']",TXN,TXN,7295,thioredoxin
PRKCA,protein kinase c alpha,7,"['39761839', '36834636', '36448837', '33091444', '30132542', '16205321', '15814724']",PRKCA,PRKCA,5578,protein kinase C alpha
CD69,cd69 molecule,78,"['39978117', '39383543', '38836870', '38364104', '38085279', '38035776', '37556314', '37366123', '37163215', '36703970', '36604951', '36211381', '35127555', '34412756', '34048019', '32890312', '31985098', '31772015', '31677350', '31385383', '30947986', '30916575', '30714626', '30601330', '30262053', '30028417', '30005684', '29799723', '29720984', '29023360', '28765218', '28484052', '28362715', '28211096', '27861506', '27286793', '27569563', '27188912', '26786705', '26362089', '26159927', '25761077', '25243429', '24498110', '24269692', '23721745', '23098236', '22824083', '22405329', '21937954', '21830900', '21438005', '21408163', '21224058', '19911937', '19773635', '19747482', '19366478', '19204074', '19201902', '18222389', '17948264', '17868677', '17635808', '16931309', '16885504', '16289324', '15320895', '15117322', '14501943', '12847405', '12537696', '12506155', '12399644', '10969258', '10930145', '10597778', '10405382']",CD69,CD69,969,CD69 molecule
EP300,ep300 protein human,3,"['40263316', '39230047', '37115345']",EP300,EP300,2033,EP300 lysine acetyltransferase
ACKR1,ackr1 protein human,5,"['39946429', '26176663', '19064726', '18007272', '16386320']",DARC,ACKR1,2532,atypical chemokine receptor 1 (Duffy blood group)
HTR4,5 hydroxytryptamine receptor 4,0,[],HTR4,HTR4,3360,5-hydroxytryptamine receptor 4
CTNNB1,catenin beta 1,0,[],CTNNB1,CTNNB1,1499,catenin beta 1
IFIT2,interferon induced protein with tetratricopeptide repeats 2,5,"['39162558', '37398680', '36851555', '33863396', '24014876']",IFIT2,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2
TLR9,toll like receptor 9,147,"['40076895', '39666381', '38982195', '38461810', '38305333', '37662481', '37532523', '37190801', '36586274', '36225174', '35803442', '35402623', '35354111', '35163830', '34215697', '34131020', '34117211', '33918831', '33672738', '33656306', '33468581', '33344264', '33091818', '33049055', '33021603', '32934605', '32684215', '32523983', '32373120', '32028329', '32024978', '32007799', '31760767', '31534550', '31381181', '31380807', '31301576', '31213249', '30417696', '30364002', '30348730', '29528268', '29506272', '29502203', '29448955', '29049365', '28850598', '28684640', '28562385', '28507081', '28329286', '30133223', '27646627', '27589725', '27566084', '26853648', '26808636', '26757165', '26682947', '26574043', '26514420', '26473437', '26462624', '26448624', '26440613', '26032013', '25944792', '25880099', '25548221', '25412934', '25272245', '25132583', '24728213', '24269486', '24089009', '24076617', '24042114', '24034228', '23982147', '23935245', '23912942', '23890799', '23787001', '23548820', '23475790', '23425749', '23359590', '23291928', '23142781', '23098236', '23048204', '22970242', '22889177', '22732279', '22709481', '22697074', '22691414', '22566566', '22516959', '22342842', '22301633', '22299046', '22135177', '22116836', '22025519', '21792053', '21753151', '21633947', '21303985', '21219635', '21095250', '21073991', '20696824', '20593272', '20207250', '19936055', '19593403', '19524259', '19509334', '19439987', '19376273', '19297619', '18794294', '18700140', '18662133', '18624303', '18559428', '18474631', '18305095', '18279792', '18194990', '17961163', '17537666', '17473064', '17386412', '17339353', '16907913', '16801421', '16784655', '16487300', '16081822', '16007092', '15843514', '15767412', '15585833', '14996414', '11445725']",TLR9,TLR9,54106,toll like receptor 9
FTH1,ferritin heavy chain 1,14,"['39855747', '39800248', '39400418', '39181287', '38951571', '38842666', '38103342', '38048858', '38025678', '37443372', '37057132', '35979359', '35265258', '34787054']",FTH1,FTH1,2495,ferritin heavy chain 1
VPS33A,VPS33A,0,[],VPS33A,VPS33A,65082,VPS33A core subunit of CORVET and HOPS complexes
KEAP1,kelch like ech associated protein 1,45,"['40540320', '39965764', '39791542', '39657533', '39623713', '39506587', '39484787', '39174578', '38810818', '38788393', '38149576', '38142644', '38101222', '38048858', '38000722', '37900081', '37900069', '36913799', '36863256', '36615318', '36569878', '36272670', '35910848', '34562841', '34412763', '34227919', '34143548', '33445988', '33189984', '32975081', '32765513', '32763245', '31891722', '31729764', '31485604', '30680694', '30465941', '29898626', '29175486', '28115850', '26878775', '25896849', '24888323', '21799073', '21403132']",KEAP1,KEAP1,9817,kelch like ECH associated protein 1
HPSE,heparanase,25,"['39721014', '39151539', '38810101', '38598083', '37744293', '33794552', '33691128', '33587773', '33561388', '32037554', '32035882', '31537875', '31493777', '31010931', '30654825', '30496411', '29616016', '29216941', '29120525', '28170292', '28167639', '26600070', '26191183', '25778676', '22820644']",HPSE,HPSE,10855,heparanase
CCL2,c c motif chemokine ligand 2,123,"['40486124', '40292295', '39800248', '39566813', '39447413', '39199368', '39189824', '39068155', '38961639', '38749002', '38345000', '38229409', '38134592', '38035076', '37878486', '37674218', '37062504', '37014234', '36766707', '36418262', '35926944', '35918604', '35811678', '35658715', '35363162', '35276271', '34638546', '34432833', '34367170', '34131020', '34105359', '34092294', '33656306', '32983159', '32958528', '32947475', '32919702', '32596277', '32521540', '32407417', '32307170', '31682847', '31637812', '31628962', '31583025', '31552201', '31464651', '31424269', '31386981', '30496411', '30365644', '30328934', '30195817', '30165412', '30103197', '29891542', '29769838', '29762676', '29753328', '29681903', '29568906', '29384785', '29309892', '29277325', '29251000', '28852269', '28700052', '28641299', '28472164', '28186140', '28165033', '27832827', '29441967', '27609567', '27530729', '27149601', '27149013', '26817997', '26337158', '26293782', '26037291', '25883383', '25573805', '25512512', '25056958', '24497916', '24379123', '24169208', '24069320', '23947598', '23872051', '23843079', '23247123', '23241528', '22981705', '22911155', '22751621', '22652070', '22503596', '22201685', '22089201', '22020770', '22002847', '21146602', '20967289', '20950459', '20610940', '20385751', '19622799', '19342672', '18954908', '18729779', '18714029', '18480235', '17707134', '17636038', '17334537', '17047515', '16979363', '16916890', '16844401', '16454704', '15517610']",CCL2,CCL2,6347,C-C motif chemokine ligand 2
CD59,cd59 protein human,1,['26607226'],CD59,CD59,966,CD59 molecule (CD59 blood group)
TREM1,triggering receptor expressed on myeloid cells 1,191,"['40426195', '40245524', '39382693', '39382003', '39344989', '39202614', '39148395', '39081318', '38938563', '38901729', '38283341', '38235139', '38191420', '37843818', '37700323', '37487442', '37269870', '36546755', '36544417', '36181338', '36058695', '35862959', '35784361', '35502507', '35358332', '35218003', '34899708', '34824252', '34812186', '34468613', '34233965', '34137348', '33420354', '33390769', '33276725', '32932316', '32761929', '32674630', '32572693', '32571463', '32508526', '32506691', '32468087', '32405248', '32255294', '32154187', '32027618', '31931717', '31733681', '31594258', '31537145', '31179790', '30601330', '30467431', '30388897', '29783819', '29644918', '29644420', '29619033', '29361046', '29282483', '29251000', '29059148', '29016484', '28886956', '28849130', '28742984', '28266902', '27729010', '27319606', '27238916', '27209579', '27178971', '27067215', '26916399', '26892347', '26618144', '26561551', '26341458', '26281323', '26169055', '25944130', '25860078', '25541104', '25532536', '25467712', '25461656', '25440141', '25319790', '25230869', '25205512', '24959004', '24836682', '24800240', '24672147', '24465168', '24290866', '24270127', '24216331', '24012914', '23935252', '23602853', '23571837', '23475790', '23414215', '23364598', '23324887', '23314180', '23296629', '23117911', '23046618', '22996209', '22898387', '22890222', '22809118', '22798017', '22739556', '22564837', '22551551', '22538802', '22395243', '22156803', '22147417', '22136371', '22055202', '22050935', '22023777', '21855288', '21762470', '21701408', '21549071', '21549065', '21521967', '21507332', '21440201', '21356122', '21126652', '21114709', '20530955', '20453108', '20232048', '20146986', '20096962', '19923060', '19914031', '19893247', '19740375', '19588759', '19396532', '19307971', '19109693', '19077631', '18954695', '18656898', '18396215', '18226173', '18222421', '18219131', '17577825', '17558349', '17452516', '17343659', '17336301', '17230441', '17129388', '17008237', '16960786', '16937456', '16907912', '16881563', '16809329', '16729720', '16690735', '16622220', '16508879', '16450102', '16437719', '16433311', '16277737', '16178857', '16096457', '15931355', '15833049', '15818107', '15754199', '15585833', '15557347', '15238365', '15212339', '11564478', '11323674']",TREM1,TREM1,54210,triggering receptor expressed on myeloid cells 1
ADRA1A,adrenoceptor alpha 1a,0,[],ADRA1A,ADRA1A,148,adrenoceptor alpha 1A
GATA3,gata binding protein 3,15,"['39231733', '33430765', '31386235', '30266573', '29979219', '28439500', '26902275', '25557485', '25403265', '24670848', '24078698', '20220566', '20127677', '15780577', '15596410']",GATA3,GATA3,2625,GATA binding protein 3
SEC61A1,sec translocation channels,0,[],SEC61A1,SEC61A1,29927,SEC61 translocon subunit alpha 1
CASP7,caspase 7,8,"['38158102', '37591921', '36443881', '34400214', '28245134', '25659903', '19168786', '12232800']",CASP7,CASP7,840,caspase 7
PDE4B,phosphodiesterase 4b,10,"['40311245', '38861808', '34212425', '30557659', '30131240', '29407965', '28888661', '28383060', '28356347', '16034090']",PDE4B,PDE4B,5142,phosphodiesterase 4B
CYSLTR1,cysteinyl leukotriene receptor 1,1,['21934409'],CYSLTR1,CYSLTR1,10800,cysteinyl leukotriene receptor 1
CAT,catalase,687,"['40503691', '40485166', '40447827', '40366389', '40358797', '40350824', '40332798', '40233832', '40154568', '40111530', '40086198', '40080264', '40005342', '39978709', '39962902', '39934478', '39921189', '39861027', '39825692', '39808340', '39793677', '39768830', '39744997', '39713221', '39699295', '39433013', '39336593', '39313391', '39305888', '39258790', '39191142', '39034431', '38985775', '38978477', '38880383', '38837857', '38775678', '38754813', '38712373', '38692452', '38678669', '38578526', '38563049', '38503011', '38491456', '38428770', '38427842', '38326366', '38242525', '38142642', '38103391', '38016342', '37871772', '37830896', '37789794', '37556997', '37534635', '37436358', '37272426', '37256314', '37199082', '37182289', '37177863', '36966282', '36959434', '36921735', '36706595', '36700778', '36608504', '38313107', '36448768', '36335439', '36301457', '36070121', '36034714', '35854050', '35847588', '35818208', '35657530', '35621073', '35589083', '35491857', '35393638', '35322284', '35312688', '35283374', '35123165', '35103516', '35063617', '34912891', '34663127', '34333083', '34280035', '34257108', '34213571', '34187277', '34051206', '34002676', '33949088', '33857805', '33605009', '33524809', '33511217', '33508652', '33290154', '33287796', '33261826', '33090332', '33000583', '33000200', '32967483', '32881474', '32847790', '32840384', '32827711', '32749003', '32743736', '32614079', '32456818', '32447536', '32447221', '32438104', '32415933', '32369227', '32335648', '32223739', '32200709', '32126248', '32096292', '32043372', '31960567', '31812344', '31801778', '31800708', '31738158', '31728681', '31696375', '31671816', '31640283', '31568782', '31536570', '31522243', '31441411', '31404772', '31401645', '31377749', '31340776', '31313312', '31254592', '31238259', '31203505', '31173172', '31129142', '31115789', '30953626', '30898472', '30874461', '30867119', '30788532', '30683539', '30665040', '30660872', '30589638', '30552905', '30527491', '30517235', '30365644', '30340097', '30339057', '30336174', '30302906', '30160593', '30158024', '30145161', '30139329', '30102640', '30063976', '29932894', '29920283', '29772771', '29771447', '29765498', '29756489', '29706238', '29655568', '29540455', '29515010', '29489449', '29484685', '29467458', '29393707', '29367585', '29327282', '29230271', '29178882', '29157824', '29146945', '29124567', '29093403', '28905500', '28892190', '28848223', '28843893', '28776781', '28650935', '28606823', '28595959', '28566082', '28561960', '28526985', '28506633', '28473359', '28425327', '28356105', '28234792', '28167245', '28117298', '28006762', '27884587', '27822584', '27614214', '27796742', '27771396', '27771394', '27393927', '27743598', '27733100', '27645696', '27595775', '27420622', '27418288', '27357988', '27267466', '27260803', '27152038', '27052214', '27040670', '27022769', '26999057', '26887242', '26857798', '26822958', '26655398', '26639044', '26608484', '26530900', '26499384', '26454564', '26431839', '26416404', '26300162', '26165810', '26163266', '26111524', '26109255', '26094939', '26070666', '26033594', '25999034', '25933562', '25828064', '25815596', '25760218', '25707597', '25698488', '25585354', '26978759', '25526714', '25521988', '25500005', '25497738', '25494363', '25467649', '25420715', '25291962', '25251596', '25230863', '25137643', '25124169', '25115759', '25086493', '25070007', '25068861', '25052117', '25017420', '24972870', '24931569', '24916881', '24895226', '24866022', '24751973', '24484905', '24461521', '24440590', '24423888', '24371247', '24296247', '24232666', '24200110', '24153131', '24116858', '24081186', '24062480', '24013006', '23921197', '23746123', '23587194', '23557966', '23542126', '23536403', '23433322', '23425829', '23420166', '23314879', '23160520', '23148403', '23130344', '23096108', '22956995', '22902401', '22875672', '22841463', '22771866', '22564959', '22542801', '22518872', '22455867', '22387140', '22364946', '22340705', '22239022', '22216675', '22178449', '22100509', '22096116', '22030375', '22029906', '21856092', '21839583', '21808137', '21806496', '21762552', '21685717', '21632900', '21631715', '21525541', '21481533', '21474988', '21453177', '21314464', '21178283', '21059391', '21039861', '20958932', '20881187', '20646879', '20626256', '20571452', '20548954', '20496172', '20486843', '20455408', '20377057', '20167134', '20113246', '20085648', '20084922', '20080253', '20030736', '19959187', '19923481', '19891535', '19845486', '19789462', '19782126', '19555903', '19542485', '19481036', '19416279', '19366651', '19348961', '19262077', '19226387', '19198268', '19160131', '19119954', '19031312', '18854975', '18795185', '18768630', '18754105', '18689231', '18679123', '18664787', '18599854', '18516612', '18450494', '18444576', '18358966', '18342375', '18317403', '18263714', '18258096', '18207484', '18094600', '18074482', '18028947', '17991161', '17958526', '17645563', '17625191', '17490683', '17434224', '17433750', '17415424', '17372841', '17321993', '17317755', '17287332', '17254639', '17228851', '17207084', '17205699', '17184502', '17122022', '16945159', '16901649', '16778157', '16715191', '16712904', '16672441', '16644180', '16641017', '16566656', '16554340', '16505668', '16495847', '16490992', '16456175', '16369183', '16319332', '16260579', '16135968', '16135963', '16085394', '16034622', '16034546', '15986619', '15836852', '15787945', '15774674', '15770062', '15765945', '15665451', '15545832', '15501248', '15487942', '15474315', '15457651', '15454287', '15365869', '15347623', '15305701', '15214957', '15201655', '15013998', '14982563', '14715763', '14686997', '14669999', '12870652', '12860438', '12783160', '12722139', '12709841', '12679155', '12670433', '12653327', '12653213', '12574255', '12560460', '12522046', '12498568', '12488072', '12475743', '12392282', '12388361', '12204950', '12197119', '12148622', '12118590', '12065479', '12030763', '12019735', '11994046', '11906728', '11906503', '11850599', '11796957', '11783691', '11724825', '11705640', '11584334', '11502381', '11475582', '11466275', '11431906', '11388603', '11376092', '11334943', '11280372', '11246316', '11211238', '11200917', '11144694', '11112131', '11110380', '11063772', '11039085', '11036682', '10950765', '10916128', '10885985', '10846058', '10834521', '10643980', '10554329', '10555324', '10417058', '10342658', '10338522', '10325382', '10325344', '10203518', '10203478', '10093604', '10073351', '9866646', '9839874', '9839873', '9733384', '9817520', '9786205', '9688602', '9684442', '9660458', '9621208', '9620399', '9611416', '9581796', '9573465', '9522273', '9502460', '9403842', '9276397', '9163438', '9160673', '9169939', '9041385', '9023040', '9031886', '8950424', '8940468', '8945969', '9025151', '9005834', '8912359', '8818897', '8818889', '8858561', '8714277', '11362939', '8586710', '7588039', '8708412', '7473169', '8531391', '7494043', '8562744', '7768006', '7588825', '7618252', '7775652', '7849316', '7816083', '7528923', '7963799', '7963476', '7925884', '8005529', '8301768', '8013065', '8350928', '8387898', '8381867', '1416347', '1530106', '1437293', '1611705', '1585625', '1537892', '1666099', '1666098', '1666074', '1666070', '1775840', '2071921', '1937594', '2017401', '1882201', '1712120', '1707870', '2279987', '2282777', '2361534', '2158493', '2110710', '2154424', '2158290', '2601792', '2551866', '2586422', '2759883', '2671019', '2715888', '2723034', '2541530', '2706756', '2915017', '2699290', '2521428', '3189702', '3048773', '3407679', '2835411', '3384903', '3284394', '2847504', '3320211', '3679961', '3307301', '3588119', '3826123', '3322605', '3028669', '3020157', '3750139', '3012849', '3700624', '3742740', '3490244', '3863438', '3888840', '3888939', '6486543', '6334930', '6095518', '6468367', '6687604', '6827807', '6186079', '6851003', '6339102', '7153335', '6293839', '7136950', '7048829', '7048828', '7032261', '7004659', '498428', '668047', '879104', '835907', '830630', '1266816', '1199976', '808959', '238701', '4609530', '4616780', '4324984', '5167123', '5818685', '5630378', '5903208', '13066998']",CAT,CAT,847,catalase
MMUT,methylmalonyl coa mutase,1,['32390175'],MMUT,MMUT,4594,methylmalonyl-CoA mutase
HSPD1,heat shock proteins,0,[],HSPD1,HSPD1,3329,heat shock protein family D (Hsp60) member 1
LILRA5,leukocyte immunoglobulin like receptor a5,2,"['38968271', '36920635']",LILRA5,LILRA5,353514,leukocyte immunoglobulin like receptor A5
RAG1,recombination activating 1,22,"['37352568', '36264059', '32033605', '31578442', '31311649', '29685989', '25727345', '25692255', '24465843', '23568285', '23042193', '21746813', '21701414', '20844189', '19158156', '17591956', '15284218', '12960340', '12865655', '11101871', '10201940', '9267941']",RAG1,RAG1,5896,recombination activating 1
NCF4,neutrophil cytosolic factor 4,3,"['33949285', '33274532', '30676840']",NCF4,NCF4,4689,neutrophil cytosolic factor 4
NRIP3,nuclear,1,['23348743'],NRIP3,NRIP3,56675,nuclear receptor interacting protein 3
FPR2,formyl peptide receptor 2,16,"['39543493', '39380512', '37068475', '36776849', '36544058', '32575108', '31982133', '31763448', '29415887', '28679406', '27703259', '27494686', '25512512', '25478948', '23816538', '22964301']",FPR2,FPR2,2358,formyl peptide receptor 2
ADRB1,adrenoceptor beta 1,0,[],ADRB1,ADRB1,153,adrenoceptor beta 1
NDUFA12,electron transport complex i,0,[],NDUFA12,NDUFA12,55967,NADH:ubiquinone oxidoreductase subunit A12
WIPF1,was wasl interacting protein family member 1,0,[],WIPF1,WIPF1,7456,WAS/WASL interacting protein family member 1
NDUFA8,nad,1,['31794266'],NDUFA8,NDUFA8,4702,NADH:ubiquinone oxidoreductase subunit A8
MIR181A1,microrna 181a 1,0,[],MIR181A1,MIR181A1,406995,microRNA 181a-1
DRD2,dopamine receptor d2,1,['40315317'],DRD2,DRD2,1813,dopamine receptor D2
ADAM8,adam metallopeptidase domain 8,0,[],ADAM8,ADAM8,101,ADAM metallopeptidase domain 8
OAS1,2 5 oligoadenylate synthetase 1,3,"['28329286', '23315078', '18598196']",OAS1,OAS1,4938,2'-5'-oligoadenylate synthetase 1
ATG7,autophagy related 7,21,"['38599281', '38215656', '38030060', '35781746', '34808102', '34321587', '34051206', '33637691', '32323768', '32018068', '31333648', '30789157', '28575583', '28258192', '26916346', '25483963', '25029098', '24184056', '22089196', '21263383', '19914257']",ATG7,ATG7,10533,autophagy related 7
IRF9,interferon regulatory factor 9,4,"['38767608', '37984615', '36796598', '34709467']",IRF9,IRF9,10379,interferon regulatory factor 9
NDUFAB1,nadh ubiquinone oxidoreductase subunit ab1,0,[],NDUFAB1,NDUFAB1,4706,NADH:ubiquinone oxidoreductase subunit AB1
PGF,placental growth factor,35,"['36385130', '34871241', '33176177', '32093661', '31495408', '30553017', '25446912', '22908198', '22561111', '22385934', '22545970', '20002062', '18852292', '18387796', '17965276', '17652370', '16702604', '15715622', '12794420', '12770513', '12517403', '12485821', '12371762', '12217213', '12054915', '11719164', '11515987', '11076704', '10806135', '8948012', '8688491', '1599496', '2506578', '299409', '1119564']",PGF,PGF,5228,placental growth factor
NOS3,nitric oxide synthase 3,29,"['39566813', '36155956', '35178159', '34769369', '33609421', '32442451', '31359679', '25239655', '24465919', '23441627', '23397596', '23011059', '22777123', '19997049', '19841582', '19717511', '18340997', '17138944', '15985710', '15644457', '15547116', '15501765', '14656712', '11546971', '11531027', '11208485', '11180991', '10967157', '9441911']",NOS3,NOS3,4846,nitric oxide synthase 3
IL9,interleukin 9,21,"['39945866', '38961639', '36847604', '35042191', '34088582', '33995408', '33173181', '32958528', '30547887', '29774022', '29511181', '28571570', '25274957', '24615129', '24300828', '23176118', '22981705', '22235179', '21872420', '19204074', '10754315']",IL9,IL9,3578,interleukin 9
MIR150,microrna 150,27,"['39422161', '38154081', '37523231', '35986237', '34738345', '34333083', '34004247', '33456572', '33181172', '32326325', '30332984', '30183576', '29689269', '29512785', '27434572', '26822049', '26761003', '26743170', '25394245', '25265569', '24915805', '24413579', '24146790', '23372743', '21141085', '19823581', '19284987']",MIR150,MIR150,406942,microRNA 150
GPR84,g protein coupled receptor 84,2,"['39341076', '17390309']",GPR84,GPR84,53831,G protein-coupled receptor 84
IFNA2,interferon alpha 2,3,"['27263115', '16190558', '11687854']",IFNA2,IFNA2,3440,interferon alpha 2
CD163,cd163 molecule,70,"['40251340', '39628684', '39447386', '37921181', '37235492', '36767629', '36635449', '36549041', '36370949', '36328552', '35632669', '35141934', '34412744', '33803997', '33382901', '33004694', '32605751', '31599478', '31584245', '31440241', '31340152', '31298489', '31174697', '31148335', '30766533', '30478799', '29804289', '29778179', '29668526', '29519920', '29448955', '29383956', '29337166', '29251000', '28464519', '28458349', '28419526', '28397440', '27671246', '27312706', '27169526', '26711047', '26607226', '26586579', '26525287', '26430882', '26422187', '25650730', '25388964', '25280865', '25109683', '24970363', '24637679', '24275664', '23990136', '23928834', '23013330', '22911680', '22693573', '22547701', '22427530', '21535472', '18604302', '18190604', '17044836', '16983269', '16915112', '15613100', '12377940', '11756196']",CD163,CD163,9332,CD163 molecule
VAV1,vav guanine nucleotide exchange factor 1,2,"['27926862', '24532586']",VAV1,VAV1,7409,vav guanine nucleotide exchange factor 1
PTGS1,prostaglandin endoperoxide synthase 1,1,['34738439'],PTGS1,PTGS1,5742,prostaglandin-endoperoxide synthase 1
